Site,Date,Temp,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Q
금본A,2016.06.13,23.9,8.2,217,9.5,1.4,6.2,11.5,2.952,0.082,3.8,2.586
금본B,2016.06.13,20.5,7.3,132,10.1,0.5,3.1,1.5,2.232,0.01,1.9,12.655
금본B1,2016.06.13,22.6,7.6,147,9.6,1.1,5.1,10.4,2.075,0.048,3,1.147
금본B2,2016.06.13,22.8,7.2,111,9.4,0.5,2.7,3.2,1.742,0.017,1.5,0.63
금본C,2016.06.13,24.3,7.6,136,9.2,0.8,3.7,4.5,1.76,0.014,2.3,10.983
금본C1,2016.06.13,26.9,8.4,172,12.7,0.7,3.4,3.6,1.417,0.026,2.3,1.964
금본D,2016.06.13,25,7.6,152,8.1,0.7,4,4,1.649,0.018,2.2,12.467
금본E,2016.06.13,27,9,160,9.1,0.7,3.8,2,1.237,0.016,2.4,17.641
금본F1,2016.06.13,23.3,7.4,151,6.2,0.6,3,0.3,1.228,0.012,1.7,0.049
금본F2,2016.06.13,24.2,7.2,461,7.9,1.4,6,4.9,3.11,0.036,3.6,0.073
보청A,2016.06.13,24,7.6,310,9.3,0.8,5.3,4.6,1.901,0.033,3.4,1.587
초강A,2016.06.13,28.2,9,201,11.2,0.8,4.6,2.2,0.715,0.019,3,1.98
초강A1,2016.06.13,22.5,7.2,203,9.2,0.9,5,3.3,1.244,0.025,2.9,0.035
금본F,2016.06.14,10.7,7.1,178,9.7,0.9,3,1.3,1.426,0,2.2,45.611
금본A,2016.06.20,24.9,8.2,230,9.8,1.5,5.8,10.1,2.547,0.076,3.2,1.63
금본B,2016.06.20,20.9,7.4,133,10,0.5,3.1,1.3,2.025,0.01,2,12.908
금본B1,2016.06.20,21.7,7.8,159,11.2,0.8,5.1,7.1,1.382,0.034,2.6,0.755
금본B2,2016.06.20,24.3,7.5,110,9.1,0.5,3.3,3.9,1.22,0.018,1.8,0.484
금본C,2016.06.20,25.5,7.9,137,9,0.7,3.9,3.8,1.474,0.014,2.4,10.983
금본C1,2016.06.20,26.3,8.5,187,12.5,1.1,4.3,2.3,1.274,0.025,2.5,1.385
금본D,2016.06.20,25.9,8.3,150,8.6,0.5,3.2,2.3,1.397,0.011,2.4,11.951
금본E,2016.06.20,27.4,9.4,163,11.9,0.8,5,2.7,0.967,0.013,2.6,19.079
금본F1,2016.06.20,19.8,7.1,149,5.4,0.8,2.2,0.3,0.675,0.013,1.4,0.02
금본F2,2016.06.20,25,7.4,441,8,1.4,5.9,6,1.565,0.042,3.7,0.076
보청A,2016.06.20,24.6,7.7,316,9.8,1,4.7,4.7,1.314,0.031,3.5,1.822
초강A,2016.06.20,28,9.4,205,12.3,0.9,3.9,2.3,0.684,0.022,3.4,2.103
초강A1,2016.06.20,21.9,7.3,210,11.2,0.5,3.7,2.7,0.897,0.018,2.4,0.017
금본F,2016.06.21,11.7,6.9,178,9.4,1.1,3.2,1.3,1.503,0.002,2.2,42.525
금본F,2016.06.27,12.6,6.8,177,9,0.7,3.4,1.4,1.897,0,3.1,41.331
금본A,2016.06.30,23.1,7.7,209,9.8,1.6,4.7,6.1,1.791,0.022,3.2,2.512
금본B,2016.06.30,20.7,7.2,133,10.6,0.7,3.4,1.9,2.01,0.005,2.5,12.383
금본B1,2016.06.30,22,7.6,185,10.1,1.5,4.5,6.2,1.297,0.029,3,0.734
금본B2,2016.06.30,22.8,7.3,119,10,0.7,2.8,3.3,0.91,0.009,2.1,0.457
금본C,2016.06.30,23.7,7.6,139,10.5,1,3.7,3.1,1.346,0.006,2.5,9.847
금본C1,2016.06.30,25.7,8.2,194,14.6,1.4,4.5,3.5,1.035,0.013,3,1.91
금본D,2016.06.30,24.6,7.9,153,8.9,0.6,3.2,2.5,1.309,0.005,2.6,12.54
금본E,2016.06.30,26.2,9.1,165,9.9,0.9,3.7,2.3,0.494,0.005,2.7,24.537
금본F1,2016.06.30,22.8,7.3,149,6.1,0.7,2.3,0.5,0.4,0.005,1.8,0.045
금본F2,2016.06.30,23.3,7.3,420,9.2,0.7,4.4,5.5,1.096,0.019,3.6,0.072
보청A,2016.06.30,24.1,7.6,314,9.2,1.1,4.1,6.2,0.654,0.011,3.5,1.605
초강A,2016.06.30,26.8,9.4,199,12.1,1,4.8,2.2,0.877,0.007,3.6,2.23
초강A1,2016.06.30,23.2,7.3,204,8.1,0.7,4.2,2.7,0.624,0.009,3.1,0.044
금본A,2016.07.12,22.7,7.4,166,7.6,0.9,3.6,3.7,3.75,0.034,2.2,11.38
금본B,2016.07.12,22.4,6.9,125,9.6,0.7,3.7,3.3,2.284,0.015,2.6,14.776
금본B1,2016.07.12,19.7,7.4,116,7.9,0.6,3.3,1.4,2.22,0.023,2,3.181
금본B2,2016.07.12,21.6,7.5,117,9.5,0.5,2.6,2.7,2.82,0.011,1.5,2.871
금본C,2016.07.12,24.2,7.7,137,7.8,1,3.8,4,2.442,0.022,2.4,24.221
금본C1,2016.07.12,22.7,7.7,146,8.5,0.6,3.5,2.5,2.557,0.023,2.1,11.723
금본D,2016.07.12,23.8,6.9,150,8.1,0.7,3.8,5,2.674,0.054,2.4,36.255
금본E,2016.07.12,24.7,7,166,7.6,0.8,4.4,9.3,3.107,0.035,2.7,51.714
금본F1,2016.07.12,22.4,6.9,149,7.9,0.4,2.7,0.7,4.326,0.02,2,0.396
금본F2,2016.07.12,23.1,7.9,406,8.2,0.6,3.4,1.8,4.009,0.038,2.3,0.896
보청A,2016.07.12,23.4,7.5,246,8,1,3.9,9.3,3.4,0.049,2.6,12.71
초강A,2016.07.12,24.2,7.2,166,7.6,0.7,4.5,4,3.17,0.033,2.8,15.618
초강A1,2016.07.12,22.2,7.6,179,9.4,1,4.3,2.1,3.614,0.024,2.9,1.081
금본F,2016.07.13,16.8,7.7,146,8.4,1.5,5.7,12.1,2.115,0.026,4.4,221.714
금본A,2016.07.18,22.7,7.4,166,7.6,1,3.6,2.3,3.1,0.044,2.4,5.457
금본B,2016.07.18,22.4,6.9,125,9.6,0.5,3.6,2.1,2.155,0.031,2.4,8.849
금본B1,2016.07.18,20.8,8,121,10,1.1,3.4,2.1,2.015,0.022,2.2,2.051
금본B2,2016.07.18,22.6,7.9,115,9.7,0.6,2.7,4.4,2.255,0.019,1.7,1.355
금본C,2016.07.18,24.2,7.7,137,7.8,0.6,3.6,3.4,2.086,0.022,2.7,10.983
금본C1,2016.07.18,23.7,8.4,155,11,0.5,3.3,1.5,2.272,0.025,2.1,6.276
금본D,2016.07.18,23.8,6.9,150,8.1,0.5,4,3.9,2.24,0.029,2.6,16.885
금본E,2016.07.18,24.7,7,166,7.6,0.6,3.6,4.4,2.477,0.032,2.7,27.078
금본F1,2016.07.18,23.3,7.2,147,9,0.9,2.9,9.4,3.161,0.034,1.9,0.186
금본F2,2016.07.18,23.3,7.8,392,10.4,0.6,3.5,2.9,3.04,0.036,2.4,0.323
보청A,2016.07.18,23.4,7.5,246,8,1.1,3.7,6.5,2.683,0.05,2.5,7.143
초강A,2016.07.18,24.2,7.2,166,7.6,0.5,4.1,2.6,2.628,0.037,2.9,6.381
초강A1,2016.07.18,22.7,8,184,11.1,1.2,4,3.3,2.504,0.014,2.7,0.324
금본F,2016.07.19,17.7,7.5,140,7.5,0.7,4.7,9.8,2.122,0.034,3.5,237.049
금본F,2016.07.25,18.7,7.9,136,7.3,1.2,5.1,6.6,2.068,0.018,4.4,50.479
금본A,2016.07.28,25.2,7.4,155,9.1,0.9,4.7,4.3,2.125,0.018,3.1,3.325
금본B,2016.07.28,24.8,7.6,124,7.5,0.8,6.1,2.9,2.028,0.022,3.1,14.234
금본B1,2016.07.28,27.8,7.8,216,9.1,0.9,4.2,3.6,1.684,0.017,2.4,1.033
금본B2,2016.07.28,26.2,7.4,116,5.4,0.4,3.2,2.8,1.301,0.017,1.8,0.564
금본C,2016.07.28,28.6,8,137,8.2,1.1,4.3,2.9,1.729,0.024,3,12.759
금본C1,2016.07.28,28.9,8,186,10,0.9,4.2,3.2,1.918,0.022,2.6,4.172
금본D,2016.07.28,28.4,7.4,149,7.7,0.8,4.2,2.8,1.522,0.016,2.9,15.099
금본E,2016.07.28,30.9,8.9,168,10.4,0.6,5.2,1.9,1.156,0.027,2.8,20.571
금본F1,2016.07.28,28.4,7,165,5.7,0.6,2.6,1,1.489,0.005,1.7,0.08
금본F2,2016.07.28,30,8,474,9.8,0.8,4.2,2.9,1.83,0.027,2.9,0.189
보청A,2016.07.28,27.1,7.3,242,8,1,4.9,3.3,2.289,0.029,3.3,3.488
초강A,2016.07.28,30.9,9.3,200,10.3,1,4.2,1.8,0.994,0.021,3,1.118
초강A1,2016.07.28,26,7.8,202,9.8,0.8,3.7,5,1.155,0.009,2.3,0.053
금본A,2016.08.09,28,8.1,212,8.4,0.9,5.2,9.7,2.508,0.039,3.3,4.697
금본B,2016.08.09,19.5,7.5,120,10.6,0.4,3.8,1.5,2.619,0.021,2.5,10.121
금본B1,2016.08.09,24.3,7.6,127,9.7,1.2,5.3,13.1,2.018,0.056,3.5,1.688
금본B2,2016.08.09,24.4,7.4,98,8.7,0.8,4.3,9.3,2.812,0.049,2.8,3.974
금본C,2016.08.09,28.7,8.3,141,8,0.7,3.8,2.7,1.863,0.028,2.7,8.749
금본C1,2016.08.09,28.6,8.2,173,10.3,0.9,4.2,3.5,1.565,0.013,3,4.34
금본D,2016.08.09,28.7,7.4,151,7.7,0.5,3.9,2.4,1.626,0.024,2.6,13.455
금본E,2016.08.09,30.9,8.7,174,10.1,0.6,4.2,1.3,1.223,0.01,2.7,22.91
금본F1,2016.08.09,28.2,7,154,7.6,0.7,2.5,1.1,1.167,0.001,1.8,0.068
금본F2,2016.08.09,30.1,7.9,465,9.9,0.8,4,3.4,1.473,0.032,2.7,0.193
보청A,2016.08.09,27.5,7.4,236,10.7,1.1,3.7,5.9,1.598,0.033,2.7,3.078
초강A,2016.08.09,31,8.5,208,9.7,0.9,4.3,1.2,0.519,0.019,3,2.037
초강A1,2016.08.09,27.4,8.2,170,12.1,1.5,5,2.5,0.784,0.017,3.5,0.184
금본F,2016.08.10,19,6.2,127,6.5,0.7,4.6,5.5,2.185,0.024,3.8,26.95
금본F,2016.08.16,19.5,6.5,129,7.5,0.9,5.5,6.2,2.017,0.015,4,27.161
금본A,2016.08.19,29.3,7.9,227,11.4,1.1,4.7,4.8,1.908,0.052,3.3,2.211
금본B,2016.08.19,19.9,7.7,118,10.6,0.6,4,2,2.187,0.027,3.1,8.814
금본B1,2016.08.19,27.4,8.4,175,13.9,0.8,4,3.5,1.425,0.039,3.1,0.543
금본B2,2016.08.19,26.8,7.6,105,11.5,0.7,4,4.1,1.082,0.02,2.7,0.627
금본C,2016.08.19,28.1,8.1,134,7.1,0.8,3.8,2.1,1.487,0.017,3.2,14.614
금본C1,2016.08.19,28.8,7.6,191,7.9,0.7,4.8,3.8,1.136,0.048,3.3,2.163
금본D,2016.08.19,28.8,7.4,150,7.3,0.6,4.2,3.6,1.337,0.03,3.2,11.933
금본E,2016.08.19,31,8.8,162,10.6,0.6,3.9,1.6,0.655,0.011,3.3,14.285
금본F1,2016.08.19,29.9,6.9,160,7.6,0.6,2.3,0.7,0.353,0.014,2,0.04
금본F2,2016.08.19,27.5,7.5,334,7.3,2.4,5.8,7.9,1.381,0.076,4.4,0.208
보청A,2016.08.19,28.2,7.5,261,8.6,1.3,4,7,1.107,0.021,3.2,1.647
초강A,2016.08.19,30.2,8.6,209,10.9,0.7,4.1,1.5,0.597,0.012,3.3,0.666
초강A1,2016.08.19,26.9,7,215,6.8,0.7,4.3,1.1,0.441,0.024,3.6,0.127
금본F,2016.08.23,19.7,6.3,130,6.5,0.7,4.8,4.7,2.127,0.016,4.2,24.472
금본A,2016.08.25,28.2,7.9,233,9.5,1.1,3.8,3.6,1.342,0.009,2.9,1.8
금본B,2016.08.25,20.4,7.8,116,12.7,0.6,4.4,2.5,1.659,0.001,3.2,9.631
금본B1,2016.08.25,26.3,7.8,186,10,1.1,3.8,3.4,1.015,0.026,2.7,0.445
금본B2,2016.08.25,26,7.6,108,8.7,0.9,3.1,3.4,0.526,0.007,2.2,0.459
금본C,2016.08.25,26.9,7.5,132,8.4,0.7,3.9,1.9,1.055,0.002,3,8.749
금본C1,2016.08.25,28.2,7.3,213,10.1,1.4,5.2,5.3,0.646,0.11,3.6,1.228
금본D,2016.08.25,27.8,7.6,145,7.6,0.6,3.7,2.8,0.803,0.004,2.9,10.512
금본E,2016.08.25,29.7,8.7,158,10.2,0.5,3.7,1.5,0.294,0.005,2.9,13.039
금본F1,2016.08.25,29.4,7.1,163,6.9,0.8,2.3,1.8,0.111,0.021,2,0.033
금본F2,2016.08.25,29.2,7.5,408,9.7,0.9,4.1,2.7,0.723,0.017,3.3,0.164
보청A,2016.08.25,26.7,7.4,281,8.2,1,3.5,5.5,0.671,0.018,2.7,0.974
초강A,2016.08.25,28.2,7.9,228,9.7,0.9,3.4,1.4,0.295,0.004,2.8,0.407
초강A1,2016.08.25,22.8,6.8,246,6.4,0.9,2.7,3.1,0.578,0.018,2.3,0.09
금본A,2016.08.29,21.6,7.5,214,10.8,0.8,4.7,6.5,2.264,0.046,3.4,3.543
금본B,2016.08.29,19.1,7.5,117,11.5,0.4,4,2.3,2.056,0.018,3,9.635
금본B1,2016.08.29,21,8,163,12.2,0.9,4.4,2,1.782,0.036,2.9,0.909
금본B2,2016.08.29,20,7.7,110,9.9,0.6,2.7,3,0.977,0.018,1.7,0.467
금본C,2016.08.29,21.6,7.8,132,9.9,0.7,5.6,1.8,1.799,0.02,3,7.18
금본C1,2016.08.29,22.9,7.7,197,11.2,1,4.5,1.4,0.982,0.07,2.9,2.048
금본D,2016.08.29,22,7.3,146,8.9,0.5,4,1.4,1.652,0.017,2.6,11.349
금본E,2016.08.29,23.6,8.4,171,10.7,0.5,3.7,0.6,1.058,0.021,2.6,15.587
금본F1,2016.08.29,24.3,7.4,159,8.5,0.9,2.5,1.1,0.497,0.024,1.7,0.044
금본F2,2016.08.29,22.4,7.3,420,10.2,0.6,3.3,1.2,1.479,0.039,2.8,0.14
보청A,2016.08.29,21.4,7.5,335,9.5,1.2,4.3,3.6,1.192,0.031,3.2,2.349
초강A,2016.08.29,23.6,8.2,238,10.5,0.7,4.4,0.7,0.626,0.019,3.1,1.468
초강A1,2016.08.29,21.5,7.3,214,8.7,1.2,4.1,1.3,1.065,0.018,3.1,0.131
금본F,2016.08.30,19.1,6.7,132,5.2,1.4,5.2,3.6,2.03,0.014,4,24.403
금본F,2016.09.05,19.6,6.6,132,5.4,1.8,5.4,5.6,1.95,0.028,4,23.315
금본A,2016.09.08,23.2,7.4,212,9.1,0.8,3.9,3.2,2.033,0.035,2.1,3.031
금본B,2016.09.08,20.1,7.5,116,12.4,0.6,4.1,1.2,1.904,0.014,2.4,8.847
금본B1,2016.09.08,21.9,8.1,151,11.1,1,3.5,2.2,1.535,0.029,2.1,0.934
금본B2,2016.09.08,22.3,7.8,123,9.7,0.4,2.6,1.5,0.839,0.025,1.6,0.352
금본C,2016.09.08,24.1,7.9,133,8.9,0.9,4.3,1.4,1.406,0.022,2.6,8.749
금본C1,2016.09.08,23.9,7.5,157,10.4,0.6,4.3,2.4,1.017,0.047,2.5,2.876
금본D,2016.09.08,24.9,7.8,153,8.4,0.5,3.8,1.6,1.231,0.012,2.2,10.484
금본E,2016.09.08,26.4,8.4,171,10.6,0.5,3.4,1,0.926,0.007,2.2,16.258
금본F1,2016.09.08,24.6,7.3,156,7.9,0.4,2.1,0.5,0.408,0.019,1.5,0.038
금본F2,2016.09.08,24.4,7.5,388,10.3,0.6,3.2,2,1.336,0.034,2.2,0.093
보청A,2016.09.08,23.4,7.6,301,9.9,0.8,3.4,3.5,0.962,0.056,2.1,1.952
초강A,2016.09.08,26.4,8.2,210,9.9,0.7,3.8,0.9,0.726,0.02,2.4,1.468
초강A1,2016.09.08,23,7.4,204,9.2,0.4,3.4,1.3,0.789,0.027,2.2,0.141
금본F,2016.09.12,19.7,6.8,137,5.9,0.8,5.6,3.1,1.082,0.022,3.8,
금본A,2016.09.20,17.5,7.1,148,9.3,0.7,3.7,3,3.212,0.064,2.9,9.792
금본B,2016.09.20,19.6,7.6,113,11.4,0.8,3.8,1.7,2.122,0.028,3,8.221
금본B1,2016.09.20,16.8,7.4,121,10.2,0.4,3.2,0.8,2.068,0.017,2.2,2.245
금본B2,2016.09.20,17.7,7.2,110,10.3,0.4,2.5,1.6,2.769,0.02,1.9,3.044
금본C,2016.09.20,18.9,7.2,107,10.1,0.7,5.1,1.8,2.193,0.051,3.3,36.867
금본C1,2016.09.20,18,7.1,95,10.7,0.5,3.9,1.9,2.048,0.017,2.6,20.928
금본D,2016.09.20,18.8,7.6,117,9,0.6,5.5,3.5,2.291,0.055,3.4,50.843
금본E,2016.09.20,19.7,6.9,126,9.2,0.7,7.4,3.5,2.486,0.027,3.8,78.008
금본F1,2016.09.20,20,7.3,119,8.9,0.4,2.8,3.3,2.999,0.016,2.4,0.673
금본F2,2016.09.20,19.5,7.2,336,10.5,0.4,3.3,1.1,3.092,0.036,2.8,0.375
보청A,2016.09.20,18.5,7,229,9.3,0.9,6.6,2.8,1.722,0.066,3.8,6.256
초강A,2016.09.20,19.3,7,133,9.5,0.8,6.7,2.1,2.661,0.035,3.8,19.497
초강A1,2016.09.20,18.8,7.1,171,10,0.4,4.1,1.2,2.274,0.022,3.2,0.851
금본F,2016.09.21,19.8,6.6,132,5.4,1.2,4.9,2.2,1.533,0.025,3.9,22.36
금본A,2016.09.26,19.4,7.4,194,10.2,0.4,3,1.1,3.289,0.026,2.6,3.411
금본B,2016.09.26,19.6,7.2,113,9.4,0.4,4.2,1.5,1.835,0.014,3.4,8.588
금본B1,2016.09.26,18.2,8,166,13.1,1,2.8,0.8,2.304,0.024,2.5,0.87
금본B2,2016.09.26,19.6,7.5,123,7.7,0.9,2.4,1.4,1.908,0.006,2.2,0.839
금본C,2016.09.26,20.8,7.6,129,8.9,0.5,3.7,2.3,1.585,0.029,3.2,12.759
금본C1,2016.09.26,20.1,7.5,145,10.1,0.7,3.1,1.4,1.746,0.032,2.7,4.544
금본D,2016.09.26,21.2,7.9,147,8.5,0.4,3.6,2.7,1.583,0.03,3.2,15.244
금본E,2016.09.26,22.2,7.9,164,9.7,0.7,4.8,1.4,1.662,0.022,3.1,22.91
금본F1,2016.09.26,19.8,7.2,144,7.8,0.9,2.7,0.1,2.272,0.024,2.3,0.154
금본F2,2016.09.26,19.7,7.3,386,8.8,0.9,2.9,0.7,1.921,0.021,2.8,0.219
보청A,2016.09.26,20.2,7.4,287,9.9,1.2,3,1.9,1.012,0.031,2.9,2.934
초강A,2016.09.26,21.5,7.6,183,9.5,0.6,3.4,0.7,1.711,0.015,3.2,2.931
초강A1,2016.09.26,19.7,7.5,196,10.4,0.8,3.1,1.6,1.286,0.019,2.7,0.208
금본F,2016.09.27,19.8,6.6,133,5.5,0.8,5,2.2,1.751,0.025,3.8,22.764
금본F,2016.10.04,20.6,6.9,132,5.8,0.6,6.7,2.9,1.705,0.035,3.5,12.186
금본A,2016.10.07,17.2,7.1,146,9.4,1.5,4.5,3.3,2.917,0.077,3.1,11.987
금본B,2016.10.07,19.3,7.4,115,8.8,0.7,3.9,2.2,1.816,0.035,2.9,9.057
금본B1,2016.10.07,16.5,7.3,118,10.2,0.7,3.4,0.6,1.685,0.026,2.4,2.654
금본B2,2016.10.07,18.2,7.6,110,7.1,0.6,2.9,1.6,2.4,0.01,1.8,3.284
금본C,2016.10.07,19.2,7.3,103,10.3,1,4.3,4.1,1.905,0.072,3.2,30.34
금본C1,2016.10.07,18.2,7.4,139,11.2,0.5,4,0.6,1.936,0.05,3,20.465
금본D,2016.10.07,18.8,6.8,111,9.1,0.5,5.2,3.7,2.022,0.07,3.7,50.025
금본E,2016.10.07,19.7,6.8,115,9.1,0.9,6.6,5.4,2.144,0.067,4.1,88.433
금본F1,2016.10.07,18.3,7.1,102,5.9,0.6,3.5,0.9,2.141,0.05,2.4,0.7
금본F2,2016.10.07,19.1,7.2,308,11,0.8,3.5,1.8,2.228,0.058,2.8,0.679
보청A,2016.10.07,19.2,7.1,231,9.5,1,4.5,1.1,1.324,0.068,3.3,5.308
초강A,2016.10.07,19,6.8,116,9.7,0.6,4.8,3.1,2.202,0.064,3.5,22.793
초강A1,2016.10.07,18.6,7.3,158,9.5,1.1,5.2,2,2.743,0.103,3.5,0.537
금본A,2016.10.11,15.1,6.8,144,12.2,0.7,3.4,1.9,3.93,0.089,2.4,10.374
금본B,2016.10.11,17.8,7.4,111,14.5,0.6,4.5,2.6,2.918,0.067,2.8,9.304
금본B1,2016.10.11,13.9,7.3,106,12.4,0.4,2.9,1.5,2.797,0.083,2.3,2.622
금본B2,2016.10.11,15.1,7.8,107,15.7,0.4,2.2,0.8,3.805,0.071,1.6,3.098
금본C,2016.10.11,15.7,7.2,108,10.4,0.5,4.4,2.8,3.031,0.084,2.8,31.134
금본C1,2016.10.11,14.7,7.4,101,10.9,0.6,3.3,1.7,2.743,0.092,2.4,19.296
금본D,2016.10.11,15.7,7.5,118,10.2,0.5,4.4,2.5,3.158,0.098,2.7,46.685
금본E,2016.10.11,16.3,7,123,10.8,0.5,4.5,2.8,3.14,0.058,3,70.948
금본F1,2016.10.11,16.6,7.2,109,13.5,0.6,2.5,0.7,3.419,0.112,2.2,0.598
금본F2,2016.10.11,16.1,7.3,346,10.9,0.4,3,1.3,3.462,0.111,2.7,0.76
보청A,2016.10.11,16,7.1,224,11.2,1,4.1,2.6,3.099,0.082,2.9,6.199
초강A,2016.10.11,15.6,7.1,125,11.1,0.9,4,1.7,3.283,0.105,2.9,17.486
초강A1,2016.10.11,15.7,7.3,156,11.2,0.4,3.6,1.5,3.169,0.16,2.7,0.651
금본F,2016.10.12,19.2,6.6,133,5.5,1,4.9,2.9,1.45,0.083,3.8,9.186
금본A,2016.10.17,16.4,6.9,144,9.8,3.2,8.6,13.3,3.886,0.168,5.1,14.4
금본B,2016.10.17,18.1,7.3,112,10.1,0.5,4.6,1.8,2.132,0.038,3.3,9.06
금본B1,2016.10.17,15.6,7.3,111,10.7,1,4.2,4,2.123,0.08,3,2.985
금본B2,2016.10.17,16.6,7.7,109,10.4,0.7,3.3,1.9,3.066,0.081,2.4,2.254
금본C,2016.10.17,17.1,7.3,130,9.8,0.5,4.6,1.1,2.308,0.034,3,16.545
금본C1,2016.10.17,16.5,7.4,134,10.3,0.6,3.4,1.6,2.662,0.047,2.3,9.757
금본D,2016.10.17,17.1,7.7,140,9.1,0.5,3.7,4.2,2.208,0.055,2.8,24.854
금본E,2016.10.17,17.9,7.5,162,10.4,0.4,3.3,2.1,2.494,0.036,2.6,35.423
금본F1,2016.10.17,17.5,7.3,118,9.7,0.4,2.7,1.3,2.629,0.06,2.1,0.259
금본F2,2016.10.17,18.2,7.3,342,10.4,0.6,3.4,3.1,2.74,0.072,2.8,0.581
보청A,2016.10.17,17,7.2,284,10.2,0.6,2.4,2,1.923,0.05,2.3,4.933
초강A,2016.10.17,17.2,7.3,169,10.2,0.4,3.2,1.5,2.562,0.066,2.4,6.051
초강A1,2016.10.17,16.8,7.3,181,9.7,0.6,3.3,2.1,2.454,0.045,2.5,0.37
금본F,2016.10.18,18.2,6.6,133,6.4,0.9,7,3.5,1.691,0.046,4.2,9.204
금본F,2016.10.24,18.2,6.7,139,7.3,0.9,4.8,1.8,1.754,0.04,3.6,8.948
금본A,2016.10.27,14,7.6,168,11.3,0.4,3,1.7,3.143,0.156,2.4,4.688
금본B,2016.10.27,16.8,7.5,113,11.5,0.8,4.4,1.3,2.019,0.032,2.9,9.021
금본B1,2016.10.27,13.2,8.1,108,12.3,0.5,3.1,1,1.994,0.083,1.9,1.693
금본B2,2016.10.27,14.3,7.9,108,11.1,0.4,2.3,0.6,2.322,0.081,1.6,0.801
금본C,2016.10.27,15.9,7.8,130,10.4,0.8,3.5,0.9,2.013,0.03,2.7,6.679
금본C1,2016.10.27,14.6,7.7,143,11.8,0.4,2.9,0.8,2.492,0.04,1.8,3.315
금본D,2016.10.27,15.6,8,146,9.7,0.5,3.1,1,2.084,0.062,2.6,15.772
금본E,2016.10.27,16.1,8.5,167,12,0.5,3.1,0.9,2.163,0.048,2.3,32.522
금본F1,2016.10.27,14.5,7.4,103,11,0.6,2.1,1.2,1.814,0.061,1.7,0.199
금본F2,2016.10.27,15.1,7.4,329,11.7,0.4,2.6,1.7,2.943,0.062,2.2,0.309
보청A,2016.10.27,14.6,7.3,303,11.5,0.8,2.6,1.3,2.08,0.063,2.3,2.765
초강A,2016.10.27,15.2,7.7,184,10.8,0.5,3.2,0.6,2.303,0.075,2.5,3.809
초강A1,2016.10.27,13.7,7.5,185,10.8,0.6,3.1,0.9,1.722,0.058,2.3,0.188
금본F,2016.10.31,17.6,8.1,412,8.1,1.1,5.5,1.1,1.695,0.038,3.7,
금본A,2016.11.08,12.1,7.4,185,13.4,0.6,2.9,1.6,3.745,0.083,2.3,3.266
금본B,2016.11.08,15.4,7.8,118,13.4,0.7,3.9,1.1,1.765,0.018,2.8,8.498
금본B1,2016.11.08,12.1,7.6,172,13.5,0.4,3.5,1.7,3.105,0.025,2.4,1.059
금본B2,2016.11.08,12.7,8.1,107,11.2,0.4,2.1,1.5,2.042,0.004,1.5,0.573
금본C,2016.11.08,12.8,8,131,10.9,0.5,4,0.6,1.909,0.026,2.6,8.215
금본C1,2016.11.08,11.8,7.9,159,11.6,0.4,3,0.4,2.671,0.02,1.9,2.541
금본D,2016.11.08,13.3,8.1,155,10.2,0.5,3.8,1,2.075,0.015,2.4,12.852
금본E,2016.11.08,12.9,8.3,169,11.7,0.6,3.3,1.1,2.038,0.006,2.4,27.078
금본F1,2016.11.08,12.4,7.7,112,13.3,0.4,2.3,0.7,2.09,0.012,1.6,0.14
금본F2,2016.11.08,12.8,7.6,338,11.3,1.6,4.4,1.4,3.928,0.031,3.2,0.579
보청A,2016.11.08,12.5,7.4,335,12.5,0.8,2.4,1.4,1.711,0.013,2,1.899
초강A,2016.11.08,12.3,8,182,11.7,0.7,3.5,1.4,2.028,0.007,2.2,2.037
초강A1,2016.11.08,11.7,7.3,188,10.5,0.4,3,1.4,1.672,0.009,2,0.156
금본F,2016.11.09,15.6,7.1,144,7.5,0.7,4.3,1.5,1.672,0.014,3.6,8.796
금본A,2016.11.14,10.2,7.6,210,13.1,0.5,3.1,0.8,3.728,0.025,1.6,2.777
금본B,2016.11.14,14.4,7.8,118,9.8,0.7,3.8,1.9,1.877,0.03,2.3,8.943
금본B1,2016.11.14,10.5,7.9,172,13.1,0.4,3.1,2.6,2.776,0.015,1.3,0.842
금본B2,2016.11.14,10.6,7.9,109,10.2,0.4,2.6,0.9,2.109,0.003,1,0.499
금본C,2016.11.14,11.8,7.9,135,11.4,0.6,3.6,0.9,1.865,0.022,2.1,8.749
금본C1,2016.11.14,10.4,8.1,164,13.5,0.4,3.2,0.7,2.247,0.02,1.4,2.402
금본D,2016.11.14,11.4,8.4,156,10.6,0.5,2.2,0.7,2.032,0.01,1.9,13.287
금본E,2016.11.14,11.5,8.4,174,11.6,0.6,2.7,0.6,2.174,0.016,1.8,26.218
금본F1,2016.11.14,11.8,7.5,110,10.6,0.4,3,0.8,2.011,0.016,0.9,0.144
금본F2,2016.11.14,12.1,7.7,330,11.9,0.4,3.3,1.1,4.504,0.026,1,0.57
보청A,2016.11.14,10.7,7.4,341,14,0.9,2.7,1.4,1.764,0.016,1.7,2.336
초강A,2016.11.14,10.9,8.1,190,11.4,0.5,2.9,0.6,2.082,0.007,1.6,2.199
초강A1,2016.11.14,11.1,7.4,191,11.5,0.5,2.4,1.2,1.589,0.014,1.2,0.155
